DATE COMMITTED,TIME COMMITTED,CRIME,ADDRESS
20/03/2016,5:00:00 PM,Physical Injuries,"Mabitac , Matalatala"
09/04/2016,8:15:00 PM,Direct Assault,"Mabitac , Lambac (Pob.)"
20/04/2016,12:45:00 PM,Grave Threats,"Mabitac , Lambac (Pob.)"
12/04/2016,6:30:00 AM,Homicide,"Mabitac , Amuyong"
04/03/2016,7:00:00 PM,Physical Injuries,"Mabitac , Paagahan"
03/03/2016,11:00:00 AM,Gambling,"Mabitac , Matalatala"
29/04/2016,11:45:00 PM,Illegal Drugs,"Mabitac , Masikap (Pob.)"
23/02/2016,7:45:00 PM,Homicide,"Mabitac , Nanguma"
01/01/2016,9:00:00 PM,Attempted Homicide,"Mabitac , Paagahan"
05/01/2016,9:00:00 PM,Less Physical Injury,"Mabitac , Maligaya (Pob.)"
30/01/2016,2:30:00 AM,Murder,"Mabitac , San Miguel"
14/01/2016,6:00:00 PM,Reckless Imprudence Resulting to Physical Injury,"Mabitac , Nanguma"
19/01/2016,4:15:00 PM,Reckless Imprudence Resulting to Physical Injury,"Mabitac , Nanguma"
12/05/2016,4:00:00 AM,Illegal Drugs,"Mabitac , Nanguma"
12/05/2016,4:00:00 AM,Omnibus Election Code of the Philippines,"Mabitac , Nanguma"
13/05/2016,8:30:00 PM,Illegal Drugs,"Mabitac , Sinagtala (Pob.)"
24/05/2016,1:30:00 AM,Carnapping,"Mabitac , Nanguma"
22/05/2016,8:00:00 AM,Illegal Drugs,"Mabitac , Matalatala"
29/05/2016,9:00:00 PM,Theft,"Mabitac , San Antonio"
09/06/2016,10:30:00 AM,Gambling,"Mabitac , San Miguel"
10/06/2016,11:30:00 AM,Frustrated Murder,"Mabitac , Paagahan"
10/06/2016,12:10:00 PM,Illegal Drugs,"Mabitac , Matalatala"
19/06/2016,9:10:00 AM,Illegal Drugs,"Mabitac , Matalatala"
23/06/2016,7:00:00 AM,Gambling,"Mabitac , San Miguel"
14/07/2016,6:00:00 AM,Carnapping,"Mabitac , Sinagtala (Pob.)"
16/07/2016,7:00:00 AM,Illegal Drugs,"Mabitac , Matalatala"
24/07/2016,2:30:00 PM,Gambling,"Mabitac , San Antonio"
17/07/2016,9:30:00 PM,Illegal Drugs,"Mabitac , San Antonio"
31/07/2016,11:40:00 AM,Illegal Drugs,"Mabitac , Lambac (Pob.)"
07/08/2016,11:05:00 PM,Illegal Drugs,"Mabitac , Maligaya (Pob.)"
14/08/2016,11:30:00 AM,Illegal Drugs,"Mabitac , Lucong"
14/08/2016,8:15:00 PM,Gambling,"Mabitac , Matalatala"
28/08/2016,11:45:00 PM,Illegal Drugs,"Mabitac , Libis ng Nayon (Pob.)"
05/09/2016,12:25:00 PM,Illegal Drugs,"Mabitac , Lambac (Pob.)"
18/09/2016,3:29:00 PM,Illegal Drugs,"Mabitac , San Antonio"
27/09/2016,11:00:00 AM,Illegal Drugs,"Mabitac , Bayanihan (Pob.)"
06/10/2016,9:00:00 PM,Illegal Drugs,"Mabitac , San Miguel"
12/10/2016,3:40:00 PM,Illegal Drugs,"Mabitac , Paagahan"
20/10/2016,8:45:00 PM,Illegal Drugs,"Mabitac , San Antonio"
01/11/2016,8:00:00 PM,Illegal Drugs,"Mabitac , Lucong"
16/11/2016,12:35:00 PM,Illegal Drugs,"Mabitac , Lucong"
26/11/2016,9:50:00 PM,Physical Injuries,"Mabitac , Bayanihan (Pob.)"
29/11/2016,1:20:00 PM,Murder,"Mabitac , Matalatala"
04/12/2016,2:15:00 PM,Illegal Drugs,"Mabitac , Matalatala"
05/12/2016,1:45:00 PM,Carnapping,"Mabitac , Sinagtala (Pob.)"
16/12/2016,6:45:00 AM,Reckless Imprudence Resulting to Physical Injury,"Mabitac , Matalatala"
22/12/2016,8:10:00 PM,Reckless Imprudence Resulting to Physical Injury,"Mabitac , Lambac (Pob.)"
28/12/2016,5:45:00 AM,Homicide,"Mabitac , Paagahan"
29/12/2016,4:45:00 PM,Illegal Drugs,"Mabitac , Amuyong"
07/01/2017,8:10:00 PM,Homicide,"Mabitac , Nanguma"
15/01/2017,8:30:00 PM,Illegal Drugs,"Mabitac , Bayanihan (Pob.)"
08/02/2017,1:00:00 PM,Gambling,"Mabitac , Nanguma"
15/02/2017,11:00:00 AM,Gambling,"Mabitac , Lucong"
19/02/2017,8:30:00 PM,Murder,"Mabitac , Numero"
19/02/2017,11:50:00 PM,Homicide,"Mabitac , Nanguma"
26/02/2017,3:45:00 AM,Physical Injuries,"Mabitac , Matalatala"
02/04/2017,7:00:00 PM,Physical Injuries,"Mabitac , Paagahan"
09/04/2017,5:45:00 PM,Illegal Drugs,"Mabitac , Nanguma"
14/04/2017,9:00:00 AM,Reckless Imprudence Resulting to Physical Injury,"Mabitac , Amuyong"
15/04/2017,10:35:00 PM,Illegal Drugs,"Mabitac , Bayanihan (Pob.)"
19/04/2017,10:30:00 PM,Illegal Drugs,"Mabitac , Matalatala"
